"","input","filtered","denoised","merged","tabled","tabled2","nonchim","prop(last/first)"
"S040",32457,29736,29374,27910,27910,27906,27815,0.856980004313399
"S041",22888,20810,20555,19550,19550,19508,19328,0.844459979028312
"S042",27771,26845,26773,26326,26326,26301,26125,0.940729538007274
"S043",23866,22572,22402,21651,21651,21633,21459,0.899145227520322
"S044",22691,20806,20701,20144,20144,20136,20028,0.882640694548499
"S045",33448,29402,29288,28036,28036,28023,27096,0.810093279119828
"S046",18484,17451,17383,17005,17005,17000,16618,0.899047825146072
"S047",19097,16893,16825,16417,16417,16400,16002,0.837932659580039
"S048",30789,28711,28580,27777,27777,27776,27570,0.895449673584722
"S049",26974,24530,24217,22995,22995,22959,22232,0.824201082523912
"S050",30843,27294,27160,26226,26226,25829,25423,0.824271309535389
"S051",43782,41814,41380,39854,39854,39849,39617,0.904869581106391
"S052",29630,24605,24258,22842,22842,22804,22667,0.765001687478907
"S053",26864,24130,23871,22773,22773,22671,22301,0.830144431209053
"S054",38934,37370,37217,36471,36471,36456,36184,0.92936764781425
"S055",18075,16402,16287,15751,15751,15740,15609,0.86356846473029
"S056",39293,37251,37094,36267,36267,36258,35874,0.912987046038735
"S057",30487,26522,26409,25374,25374,25362,24699,0.810148587922721
"S058",27871,26257,26180,25739,25739,25725,25065,0.899321875784866
"S059",17954,15810,15752,15423,15423,15411,15057,0.838643199287067
"S060",35976,30928,30783,29892,29892,29889,29716,0.825995107849678
"S061",38342,33314,33158,32030,32030,31098,30411,0.793151113661259
"S062",41138,36269,36106,34996,34996,34755,34291,0.833560211969469
"S063",44494,42400,42348,41633,41633,41633,41394,0.930327684631636
"S064",47916,46376,46350,45607,45607,45606,45357,0.946594039569246
"S065",35990,34684,34639,34068,34068,34068,33838,0.940205612670186
"S066",29441,28493,28468,28047,28047,28047,27911,0.948031656533406
"S067",35115,33974,33958,33414,33414,33414,33208,0.945692723907162
"S068",32940,31480,31465,30948,30948,30938,30756,0.933697632058288
"S069",31920,30944,30907,30442,30442,30441,30269,0.94827694235589
"S070",39905,38669,38652,38046,38046,38045,37808,0.947450194211252
"S071",33674,32176,32149,31568,31568,31568,31385,0.932024707489458
"S072",36579,35313,35288,34731,34731,34730,34482,0.942672024932338
"S073",31022,30181,30167,29706,29706,29706,29557,0.952775449680872
"S074",22028,21257,21205,20650,20650,20645,20547,0.932767386962048
"S075",31665,30794,30778,30249,30249,30249,30083,0.950039475761882
"S076",27647,26563,26557,26104,26104,26103,25983,0.93981263789923
"S077",29260,28498,28477,27984,27984,27984,27828,0.95105946684894
"S078",33064,32174,32160,31573,31573,31569,31399,0.949643116380353
"S079",601,422,421,419,419,419,419,0.697171381031614
"S080",1030,915,915,911,911,911,910,0.883495145631068
"S081",20554,19851,19843,19537,19537,19535,19396,0.943660601342804
"S082",17315,16774,16757,16479,16479,16479,16383,0.946173837712966
"S083",18385,17816,17797,17553,17553,17551,17459,0.949632852869187
"S084",15271,14596,14590,14336,14336,14336,14249,0.933075764520988
"S085",14910,14452,14438,14196,14196,14196,14115,0.946680080482897
"S086",20281,19583,19576,19302,19302,19302,19190,0.946205808392091
"S087",18805,18114,18106,17813,17813,17813,17697,0.941079500132943
"S088",22202,21439,21421,21067,21067,21067,20930,0.942707864156382
"S089",20271,18230,18139,17633,17633,17632,17229,0.849933402397514
"S090",15633,13821,13730,13241,13241,12892,12606,0.806371137977356
"S091",20291,18159,18028,17391,17391,17336,16976,0.836627076043566
"S092",20262,17335,17075,16138,16138,16100,15976,0.788471029513375
"S093",13874,12327,12238,11791,11791,11761,11544,0.832059968286003
"S094",15039,12332,12242,11828,11828,11811,11602,0.771460868408804
"S095",15851,13056,12968,12515,12515,12502,12327,0.777679641662987
"S096",19650,17571,17440,16955,16955,16881,16507,0.840050890585242
"S097",16343,14738,14489,13698,13698,13690,13504,0.82628648350976
"S098",16423,14697,14506,13822,13822,13809,13578,0.826767338488705
"S099",16295,14532,14388,13794,13794,13784,13578,0.833261736729058
"S100",17010,14707,14623,14265,14265,14262,14023,0.824397413286302
"S101",17514,15480,15359,14770,14770,14435,14151,0.807982185680027
"S102",18764,17211,17113,16597,16597,16546,16130,0.859624813472607
"S103",16653,13761,13540,12842,12842,12788,12678,0.761304269500991
"S104",18142,16383,16266,15634,15634,15619,15287,0.842630360489472
"S105",17298,15815,15689,15123,15123,15117,14881,0.860272863914903
"S106",14486,13353,13185,12586,12586,12557,12425,0.857724699710065
"S107",15021,13902,13737,13158,13158,13133,12985,0.864456427667932
"S108",17000,15492,15162,14207,14207,14202,14110,0.83
"S109",18977,17192,16918,16009,16009,16001,15790,0.832059861938136
"S110",14107,12588,12441,11690,11690,11689,11542,0.818175373927837
"S111",14595,13184,13107,12765,12765,12765,12513,0.857348406988695
"S112",18202,16528,16392,15775,15775,15267,14956,0.821667948577079
"S113",20844,19045,18926,18242,18242,18142,17724,0.850316637881405
"S114",16679,15087,14840,13905,13905,13807,13671,0.819653456442233
"S115",17329,15864,15699,15080,15080,15007,14784,0.85313636101333
"S116",19801,17517,17366,16768,16768,16755,16511,0.833846775415383
"S117",21816,19873,19690,18874,18874,18853,18596,0.852401906857352
"S118",18567,17403,17285,16874,16874,16833,16544,0.891043248774708
"S119",24510,22238,21756,20287,20287,20275,20109,0.820440636474908
"S120",18751,16676,16492,15700,15700,15691,15434,0.823102767852381
"S121",13322,11872,11737,11114,11114,11105,10943,0.821423209728269
"S122",12837,11914,11810,11461,11461,11459,11253,0.876606683804627
"S123",14616,12833,12727,12227,12227,11808,11564,0.791187739463602
"S124",14259,12424,12353,11952,11952,11923,11688,0.819692825583842
"S125",13468,12100,11892,11142,11142,11072,10972,0.814671814671815
"S126",13956,12685,12586,12104,12104,12089,11782,0.844224706219547
"S127",11814,10080,9974,9608,9608,9600,9472,0.801760622989673
"S128",14123,12653,12540,11996,11996,11990,11834,0.837923953834171
"S129",19217,17929,17802,17341,17341,17281,16967,0.882916167976271
"S130",18069,16542,16233,15255,15255,15250,15066,0.833803752282915
"S131",17907,15091,14894,14131,14131,14119,13909,0.776735354889149
"S132",19274,15466,15303,14543,14543,14541,14360,0.745045138528588
"S133",20605,18835,18747,18315,18315,18313,17903,0.868866779907789
"S134",22704,20213,20060,19266,19266,18414,18035,0.79435341789993
"S135",19816,16237,16109,15586,15586,15399,15096,0.761808639483246
"S136",21577,19024,18695,17506,17506,17139,16941,0.785141585948
"S137",29926,26470,26275,25269,25269,25230,24529,0.819655149368442
"S138",25646,22760,22570,21622,21622,21603,21279,0.829720034313343
"S139",37206,31669,31389,30071,30071,30058,29606,0.795731871203569
"S140",23340,20725,20477,19337,19337,19292,18935,0.811268209083119
"S141",30721,27615,26928,24916,24916,24884,24650,0.802382734937014
"S142",27098,23372,23084,21934,21934,21927,21587,0.796627057347406
"S143",20248,16056,15862,15080,15080,15077,14882,0.734986171473726
"S144",36104,32997,32979,32439,32439,32439,32226,0.892588078883226
"S145",45123,40081,40042,39262,39262,39262,39017,0.864680983090663
"S146",39598,35694,35681,35008,35008,35008,34845,0.879968685287136
"S147",35085,31408,31390,30842,30842,30842,30683,0.874533276328916
"S148",36679,33134,33110,32464,32464,32464,32303,0.880694675427356
"S149",41471,37163,37150,36526,36526,36525,36333,0.876106194690266
"S150",44362,39872,39859,39120,39120,39120,38893,0.876718813398855
"S151",1060,778,778,773,773,773,772,0.728301886792453
"S152",3990,3438,3437,3413,3413,3412,3412,0.855137844611529
